CodProd,Desc. Prod.,CodBarra
1002491,CX BELLAS CADERNO,7896986257216
1002509,CX ANIMAL PLANET MINI OVINHOS,7896986257223
1002515,CX CLASSICOS DRINKS 88 GARRAFAS,7896986259586
1002516,BB TORTINHA DE MARACUJA,7896986260087
1002517,BB TORTINHA MERENGUE DE MORANGO,7896986260100
1002518,BB TORTINHA MIL FOLHAS,7896986260131
1002526,BB TORTINHA DE AVELA,7896986260148
1002554,LATA TRUFA LC 100 M&N AO LEITE,7896986260902
1002563,CX BRAQUIOSSAURO 135G,7896986261077
1002613,POTE BBS LACREME ZERO ACUCAR 216,7896986261503
1002697,POTE TAB 7 COISAS 245 AO LEITE,7896986261497
1002752,CX BBS 120 FLORES SORTIDO,7896986263965
1002759,CX LOCCITANE 145 SORTIDO,7896986263705
1002767,CX LOVE 320 DRAGEADOS SORTIDOS,7896986263699
1002768,CX CLASSICOS SORTIDO 120G,7896986226892
1002770,CX BBS CLASSICOS 160 SORTIDO,7896986225420
1002821,BB PETIT DELI GELE FRUTAS VERM 79G,7896986265600
1002827,CX GOURMET 160 WHISKY,7896986265884
1002831,CX DRAG PAIS 200 WHISKY,7896986265822
1002844,CX BELLAS 128 NECESSAIRE,7896986266393
1002845,CX CHOCOMONSTROS 128 LIVRO,7896986266409
1002846,CX PETIT DELI 70 MINI BBS,7896986266416
1002893,TAB DREAMS PANETTONE 2L,7896986268274
1002966,CX 100 TRU MACA AMOR,7896986271151
1002967,CX ANGEL 450 SORT,7896986271144
1003049,CX BBS GOURMET HARM VINHO 175,7896986278242
1003050,CX GOURMET DRINKS  185G,7896986278259
1003055,CX BBS VOCE ME COMPLETA 170,7896986278631
1003057,CX BBS AUTOCUIDADO SORT 135,7896986278648
1003058,CX DRAG E BBS SORT 340,7896986278655
1003063,CORACAO RECH 260 CASADINHO,7896986278730
1003072,CX BBS CS 160 SORTIDO,7896986232985
1003091,CX ANG 200 CORACAO,7896986270673
1003092,CX ANG PORTA JOIAS 170 SORTIDO,7896986270680
1003110,CX CS 160 SORTIDO,7896986280481
1003111,CX CS 240 SORTIDO,7896986280498
1003124,CX 350 7 CHOCOLATES TABLETES,7896986280771
1003165,BB 117G WB 100 PER BROWNIE,7896986282164
1003166,BB 117G WB 100 SR ANE BROWNIE,7896986282171
1003167,BB 117G WB 100 HP BROWNIE,7896986282140
1003168,BB 117G WB 100 BAT BROWNIE,7896986282133
1003286,CX LC 160 CORACAO ZA,7896986288142
1003290,CX ANG 290 COLECAO SORTIDOS,7896986288166
1003300,CX 140 CADERNO PLATAFORMA,7896986284236
1003331,CX 140 CADERNO HP,7896986284007
1003333,CX ANG 200 GOURMET SORTIDOS,7896986290749
1003352,LATA BISCOITERIA 265 SORT MAES,7896986291197
1003354,CX BB 168 COMB PERFEITA,7896986291203
1003361,CX 205 CEREJAO,7896986291319
1003366,CX BB 320 SORT,7896986291364
1003372,BOLO DE PASCOA LC 600 AO LEITE,7896986291562
1003493,CX 210 MIAU,7896986298523
1003511,CX TRUFAS 225 LANUT PISTACHE,7896986299452
1003517,CX 240 CS BOMBONS SORTIDOS,7896986299605
1003530,CX 185 ANG SORT,7896986211294
1003531,CX 225 ANG SORT,7896986211317
1003540,PETIT 180 CARAMEL E BISC CARA,7896986212413
1003561,CX 80 MULHERES SORT,7896986214783
1003675,PORTA JOIAS 162 LC MEZZO,7896986214189
1003684,NECESSAIRE 160 URS,7896986214837
1003697,BISC 500 BAUN F VERM 2L,7896986293399
1003702,WAFER 500 CARAMELO C SAL 2L,7896986294068
1003723,CX 47 SURPRESA 4 FANTASTICO,7896986241611
1003745,NECESSARIE 160 URSINHOS ROSA,7896986256929
1003747,NECESSARIE 160 URSINHOS AZUL,7896986256417
1003776,CX 90 PROFESSORES,7896986263309
1003777,ESTOJO 108 URS,7896986257803
1003792,ESTOJO 108 URSINHOS C TRUFA ROSA,7896986291227
1003793,ESTOJO 108 URSINHOS C TRUFA AZUL,7896986291494
1003805,COPO CHOCO 145 BARTOLOMEU,7896986271335
1003806,COPO 145 CHOCO ADAMASTOR,7896986271328
1003807,COPO 145 CHOCO CLAUDETE,7896986271304
1003809,COPO 145 CHOCO LUDOVICO,7896986271311
1003872,CX 465 GOURMET,7896986273391
1003954,CX 120 AMOR ANGEL,7896986276170
1003972,TABLETE 1KG LACREME AO LEITE,7896986276354
1003980,CX MINISHOW 108 LC PISTACHE,7896986282232
